Region,Main_Sector,Year,Price_Type,Sector_GRDP
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2004,At Current Prices,71276682.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2005,At Constant 2018 Prices,126327483.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2005,At Current Prices,79514046.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2006,At Constant 2018 Prices,133711481.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2006,At Current Prices,89250281.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2007,At Constant 2018 Prices,140661469.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2007,At Current Prices,94877985.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2008,At Constant 2018 Prices,143109506.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2008,At Current Prices,104963626.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2009,At Constant 2018 Prices,148174653.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2009,At Current Prices,111177863.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2010,At Constant 2018 Prices,161737153.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2010,At Current Prices,131635468.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2011,At Constant 2018 Prices,166414758.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2011,At Current Prices,141744037.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2012,At Constant 2018 Prices,170707107.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2012,At Current Prices,154218301.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2013,At Constant 2018 Prices,178542938.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2013,At Current Prices,165084288.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2014,At Constant 2018 Prices,189848311.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2014,At Current Prices,178403975.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2015,At Constant 2018 Prices,191818068.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2015,At Current Prices,172907713.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2016,At Constant 2018 Prices,198444393.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2016,At Current Prices,184572658.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2017,At Constant 2018 Prices,218512906.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2017,At Current Prices,210663685.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2018,At Constant 2018 Prices,235393060.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2018,At Current Prices,235393060.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2019,At Constant 2018 Prices,249157465.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2019,At Current Prices,254779370.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2020,At Constant 2018 Prices,244524738.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2020,At Current Prices,260347879.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2021,At Constant 2018 Prices,262884259.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2021,At Current Prices,284617149.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2022,At Constant 2018 Prices,560535836.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2022,At Current Prices,653626940.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2023,At Constant 2018 Prices,583820586.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2023,At Current Prices,726210210.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2024,At Constant 2018 Prices,299484139.0
Bangsamoro Autonomous Region in Muslim Mindanao,Gross Domestic Product,2024,At Current Prices,386127983.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2000,At Constant 2018 Prices,7970250.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2000,At Current Prices,4584902.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2001,At Constant 2018 Prices,8734754.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2001,At Current Prices,5656352.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2002,At Constant 2018 Prices,11021926.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2002,At Current Prices,7413856.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2003,At Constant 2018 Prices,12481883.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2003,At Current Prices,8298969.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2004,At Constant 2018 Prices,14256273.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2004,At Current Prices,9755492.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2005,At Constant 2018 Prices,15505756.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2005,At Current Prices,11332204.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2006,At Constant 2018 Prices,16950290.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2006,At Current Prices,13758887.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2007,At Constant 2018 Prices,18325664.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2007,At Current Prices,15345589.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2008,At Constant 2018 Prices,20958350.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2008,At Current Prices,17655883.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2009,At Constant 2018 Prices,24266785.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2009,At Current Prices,20027077.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2010,At Constant 2018 Prices,29972267.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2010,At Current Prices,24899122.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2011,At Constant 2018 Prices,34601792.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2011,At Current Prices,29118525.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2012,At Constant 2018 Prices,37649876.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2012,At Current Prices,34967122.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2013,At Constant 2018 Prices,38561507.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2013,At Current Prices,37153789.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2014,At Constant 2018 Prices,46214889.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2014,At Current Prices,45487981.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2015,At Constant 2018 Prices,45023481.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2015,At Current Prices,42762063.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2016,At Constant 2018 Prices,46960184.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2016,At Current Prices,45254961.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2017,At Constant 2018 Prices,53270572.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2017,At Current Prices,52223714.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2018,At Constant 2018 Prices,56686761.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2018,At Current Prices,56686761.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2019,At Constant 2018 Prices,62505881.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2019,At Current Prices,63661033.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2020,At Constant 2018 Prices,60088576.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2020,At Current Prices,66403033.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2021,At Constant 2018 Prices,64822022.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2021,At Current Prices,74421684.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2022,At Constant 2018 Prices,137501274.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2022,At Current Prices,169181084.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2023,At Constant 2018 Prices,141025502.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2023,At Current Prices,182157616.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2024,At Constant 2018 Prices,76613748.0
Bangsamoro Autonomous Region in Muslim Mindanao,Industry,2024,At Current Prices,99466093.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2000,At Constant 2018 Prices,35286210.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2000,At Current Prices,17633404.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2001,At Constant 2018 Prices,35264749.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2001,At Current Prices,19075910.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2002,At Constant 2018 Prices,37359816.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2002,At Current Prices,21428219.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2003,At Constant 2018 Prices,40910450.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2003,At Current Prices,24607172.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2004,At Constant 2018 Prices,44925208.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2004,At Current Prices,28079791.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2005,At Constant 2018 Prices,48992121.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2005,At Current Prices,32100167.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2006,At Constant 2018 Prices,52143893.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2006,At Current Prices,34984606.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2007,At Constant 2018 Prices,51729697.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2007,At Current Prices,35663959.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2008,At Constant 2018 Prices,50646637.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2008,At Current Prices,35870031.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2009,At Constant 2018 Prices,51045906.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2009,At Current Prices,37696194.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2010,At Constant 2018 Prices,53839379.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2010,At Current Prices,41911390.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2011,At Constant 2018 Prices,55855755.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2011,At Current Prices,45536274.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2012,At Constant 2018 Prices,60837449.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2012,At Current Prices,51728045.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2013,At Constant 2018 Prices,65251358.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2013,At Current Prices,57546922.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2014,At Constant 2018 Prices,69357033.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2014,At Current Prices,62404111.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2015,At Constant 2018 Prices,74477191.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2015,At Current Prices,67562608.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2016,At Constant 2018 Prices,80910165.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2016,At Current Prices,74908239.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2017,At Constant 2018 Prices,88728180.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2017,At Current Prices,83667159.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2018,At Constant 2018 Prices,95346299.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2018,At Current Prices,95346299.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2019,At Constant 2018 Prices,102490959.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2019,At Current Prices,105481488.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2020,At Constant 2018 Prices,97296731.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2020,At Current Prices,100743845.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2021,At Constant 2018 Prices,103711056.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2021,At Current Prices,108807300.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2022,At Constant 2018 Prices,228057208.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2022,At Current Prices,246228730.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2023,At Constant 2018 Prices,243060922.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2023,At Current Prices,273891635.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2024,At Constant 2018 Prices,127601803.0
Bangsamoro Autonomous Region in Muslim Mindanao,Services,2024,At Current Prices,148762487.0
Bicol Region,"Agriculture, forestry, and fishing",2000,At Constant 2018 Prices,48464204.0
Bicol Region,"Agriculture, forestry, and fishing",2000,At Current Prices,27018967.0
Bicol Region,"Agriculture, forestry, and fishing",2001,At Constant 2018 Prices,51630582.0
Bicol Region,"Agriculture, forestry, and fishing",2001,At Current Prices,27995639.0
Bicol Region,"Agriculture, forestry, and fishing",2002,At Constant 2018 Prices,54470690.0
Bicol Region,"Agriculture, forestry, and fishing",2002,At Current Prices,32686673.0
Bicol Region,"Agriculture, forestry, and fishing",2003,At Constant 2018 Prices,58596826.0
Bicol Region,"Agriculture, forestry, and fishing",2003,At Current Prices,32270477.0
Bicol Region,"Agriculture, forestry, and fishing",2004,At Constant 2018 Prices,61021109.0
Bicol Region,"Agriculture, forestry, and fishing",2004,At Current Prices,39651852.0
Bicol Region,"Agriculture, forestry, and fishing",2005,At Constant 2018 Prices,67003345.0
Bicol Region,"Agriculture, forestry, and fishing",2005,At Current Prices,43368781.0
Bicol Region,"Agriculture, forestry, and fishing",2006,At Constant 2018 Prices,67890996.0
Bicol Region,"Agriculture, forestry, and fishing",2006,At Current Prices,43846888.0
Bicol Region,"Agriculture, forestry, and fishing",2007,At Constant 2018 Prices,69722212.0
Bicol Region,"Agriculture, forestry, and fishing",2007,At Current Prices,49522074.0
Bicol Region,"Agriculture, forestry, and fishing",2008,At Constant 2018 Prices,71575781.0
Bicol Region,"Agriculture, forestry, and fishing",2008,At Current Prices,58442227.0
Bicol Region,"Agriculture, forestry, and fishing",2009,At Constant 2018 Prices,74813366.0
Bicol Region,"Agriculture, forestry, and fishing",2009,At Current Prices,61615175.0
Bicol Region,"Agriculture, forestry, and fishing",2010,At Constant 2018 Prices,75962851.0
Bicol Region,"Agriculture, forestry, and fishing",2010,At Current Prices,62651919.0
Bicol Region,"Agriculture, forestry, and fishing",2011,At Constant 2018 Prices,77112681.0
Bicol Region,"Agriculture, forestry, and fishing",2011,At Current Prices,68202427.0
Bicol Region,"Agriculture, forestry, and fishing",2012,At Constant 2018 Prices,84029686.0
Bicol Region,"Agriculture, forestry, and fishing",2012,At Current Prices,73748987.0
Bicol Region,"Agriculture, forestry, and fishing",2013,At Constant 2018 Prices,89688653.0
Bicol Region,"Agriculture, forestry, and fishing",2013,At Current Prices,80568012.0
Bicol Region,"Agriculture, forestry, and fishing",2014,At Constant 2018 Prices,90344784.0
Bicol Region,"Agriculture, forestry, and fishing",2014,At Current Prices,88452610.0
Bicol Region,"Agriculture, forestry, and fishing",2015,At Constant 2018 Prices,88995900.0
Bicol Region,"Agriculture, forestry, and fishing",2015,At Current Prices,80801924.0
Bicol Region,"Agriculture, forestry, and fishing",2016,At Constant 2018 Prices,88780545.0
Bicol Region,"Agriculture, forestry, and fishing",2016,At Current Prices,82686790.0
Bicol Region,"Agriculture, forestry, and fishing",2017,At Constant 2018 Prices,91311479.0
Bicol Region,"Agriculture, forestry, and fishing",2017,At Current Prices,89567870.0
Bicol Region,"Agriculture, forestry, and fishing",2018,At Constant 2018 Prices,89547860.0
Bicol Region,"Agriculture, forestry, and fishing",2018,At Current Prices,89547860.0
Bicol Region,"Agriculture, forestry, and fishing",2019,At Constant 2018 Prices,93731957.0
Bicol Region,"Agriculture, forestry, and fishing",2019,At Current Prices,85787072.0
Bicol Region,"Agriculture, forestry, and fishing",2020,At Constant 2018 Prices,92558316.0
Bicol Region,"Agriculture, forestry, and fishing",2020,At Current Prices,89080266.0
Bicol Region,"Agriculture, forestry, and fishing",2021,At Constant 2018 Prices,89727203.0
Bicol Region,"Agriculture, forestry, and fishing",2021,At Current Prices,95580484.0
Bicol Region,"Agriculture, forestry, and fishing",2022,At Constant 2018 Prices,183881652.0
Bicol Region,"Agriculture, forestry, and fishing",2022,At Current Prices,201421916.0
Bicol Region,"Agriculture, forestry, and fishing",2023,At Constant 2018 Prices,174149231.0
Bicol Region,"Agriculture, forestry, and fishing",2023,At Current Prices,188442160.0
Bicol Region,"Agriculture, forestry, and fishing",2024,At Constant 2018 Prices,83416925.0
Bicol Region,"Agriculture, forestry, and fishing",2024,At Current Prices,106963033.0
Bicol Region,Gross Domestic Product,2000,At Constant 2018 Prices,176358450.0
Bicol Region,Gross Domestic Product,2000,At Current Prices,96854451.0
Bicol Region,Gross Domestic Product,2001,At Constant 2018 Prices,181995859.0
Bicol Region,Gross Domestic Product,2001,At Current Prices,105014935.0
Bicol Region,Gross Domestic Product,2002,At Constant 2018 Prices,189219301.0
Bicol Region,Gross Domestic Product,2002,At Current Prices,113543367.0
Bicol Region,Gross Domestic Product,2003,At Constant 2018 Prices,199696474.0
Bicol Region,Gross Domestic Product,2003,At Current Prices,120066693.0
Bicol Region,Gross Domestic Product,2004,At Constant 2018 Prices,210676947.0
Bicol Region,Gross Domestic Product,2004,At Current Prices,135875452.0
Bicol Region,Gross Domestic Product,2005,At Constant 2018 Prices,222207767.0
Bicol Region,Gross Domestic Product,2005,At Current Prices,148022711.0
Bicol Region,Gross Domestic Product,2006,At Constant 2018 Prices,229731835.0
Bicol Region,Gross Domestic Product,2006,At Current Prices,158101543.0
Bicol Region,Gross Domestic Product,2007,At Constant 2018 Prices,246621525.0
Bicol Region,Gross Domestic Product,2007,At Current Prices,178100846.0
Bicol Region,Gross Domestic Product,2008,At Constant 2018 Prices,259226365.0
Bicol Region,Gross Domestic Product,2008,At Current Prices,203567999.0
Bicol Region,Gross Domestic Product,2009,At Constant 2018 Prices,277463581.0
Bicol Region,Gross Domestic Product,2009,At Current Prices,223520298.0
Bicol Region,Gross Domestic Product,2010,At Constant 2018 Prices,293875751.0
Bicol Region,Gross Domestic Product,2010,At Current Prices,246110918.0
Bicol Region,Gross Domestic Product,2011,At Constant 2018 Prices,304077556.0
Bicol Region,Gross Domestic Product,2011,At Current Prices,266892594.0
Bicol Region,Gross Domestic Product,2012,At Constant 2018 Prices,334658891.0
Bicol Region,Gross Domestic Product,2012,At Current Prices,298247874.0
Bicol Region,Gross Domestic Product,2013,At Constant 2018 Prices,368570786.0
Bicol Region,Gross Domestic Product,2013,At Current Prices,332295863.0
Bicol Region,Gross Domestic Product,2014,At Constant 2018 Prices,390488251.0
Bicol Region,Gross Domestic Product,2014,At Current Prices,366663555.0
Bicol Region,Gross Domestic Product,2015,At Constant 2018 Prices,431896619.0
Bicol Region,Gross Domestic Product,2015,At Current Prices,395256951.0
Bicol Region,Gross Domestic Product,2016,At Constant 2018 Prices,462821105.0
Bicol Region,Gross Domestic Product,2016,At Current Prices,431762419.0
Bicol Region,Gross Domestic Product,2017,At Constant 2018 Prices,488370132.0
Bicol Region,Gross Domestic Product,2017,At Current Prices,465966050.0
Bicol Region,Gross Domestic Product,2018,At Constant 2018 Prices,522014835.0
Bicol Region,Gross Domestic Product,2018,At Current Prices,522014835.0
Bicol Region,Gross Domestic Product,2019,At Constant 2018 Prices,564941774.0
Bicol Region,Gross Domestic Product,2019,At Current Prices,560835429.0
Bicol Region,Gross Domestic Product,2020,At Constant 2018 Prices,517770299.0
Bicol Region,Gross Domestic Product,2020,At Current Prices,516847516.0
